dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
diabetes,random_forest,0,0.856111111111111,0.15342815197072923,0.006483475910499692,
diabetes,random_forest,1,0.8404629629629631,0.14080050494521856,0.005926576093770564,
diabetes,random_forest,2,0.8239814814814815,0.14115026697982103,0.005895809968933463,
diabetes,random_forest,3,0.8011320754716982,0.14202488109003752,0.005958945024758577,
diabetes,random_forest,4,0.7972641509433962,0.13998489000368863,0.006169498083181679,
diabetes,xgboost,0,0.7975925925925926,0.33706486492883414,0.0039314619498327374,
diabetes,xgboost,1,0.8316666666666666,0.0952354910550639,0.0033625030191615224,
diabetes,xgboost,2,0.8007407407407408,0.09828605898655951,0.0050495079485699534,
diabetes,xgboost,3,0.7835849056603774,0.09512003907002509,0.003387309960089624,
diabetes,xgboost,4,0.7373584905660376,0.09365584596525878,0.0034019319573417306,
diabetes,lightgbm,0,0.8181481481481482,0.10274303401820362,0.0020322799682617188,
diabetes,lightgbm,1,0.8351851851851851,0.10306153900455683,0.001881605014204979,
diabetes,lightgbm,2,0.7890740740740741,0.10349588701501489,0.002108642947860062,
diabetes,lightgbm,3,0.7830188679245282,0.10019310202915221,0.002096795942634344,
diabetes,lightgbm,4,0.7611320754716981,0.10447632905561477,0.002154982998035848,
diabetes,catboost,0,0.855925925925926,1.1726773760747164,0.0014205080224201083,
diabetes,catboost,1,0.862037037037037,1.194945227005519,0.001154551049694419,
diabetes,catboost,2,0.8192592592592592,1.1635915599763393,0.0011500939726829529,
diabetes,catboost,3,0.8160377358490567,1.1399754791054875,0.0012608699034899473,
diabetes,catboost,4,0.7962264150943396,1.1189191959565505,0.001903548021800816,
diabetes,tabpfn,0,0.8466666666666667,0.9455447139916942,1.6816335010807961,
diabetes,tabpfn,1,0.8683333333333333,0.6077439819928259,0.4350136599969119,
diabetes,tabpfn,2,0.8437037037037037,1.7737384339561686,0.4389870760496706,
diabetes,tabpfn,3,0.8318867924528303,0.6145093590021133,0.6874124029418454,
diabetes,tabpfn,4,0.8043396226415095,0.6211278770351782,0.4387307830620557,
diabetes,tabicl,0,0.8440740740740741,0.43567396607249975,0.1345413039671257,
diabetes,tabicl,1,0.8629629629629629,0.44484677200671285,0.07037325308192521,
diabetes,tabicl,2,0.8511111111111112,0.5022881228942424,0.07070382498204708,
diabetes,tabicl,3,0.8279245283018868,0.34210115298628807,0.0694818029878661,
diabetes,tabicl,4,0.8175471698113208,0.34247765503823757,0.07101125398185104,
